Country Name;Country Code;avg_GDP_capita;max_year;GDP_capita_max_year;min_year;GDP_capita_min_year;%_change
Maldives;MDV;8697;2019;10790.500240000001;2010;7076.662423000001;4.798969229239303
Mali;MLI;813;2019;900.1101645;2010;710.2742022000001;2.6667840514217334
Malta;MLT;25165;2019;30133.46617;2010;21107.36443;4.034995692087295
Marshall Islands;MHL;3317;2018;3788.1635939999996;2010;2876.994997;3.499011611842251
Mauritania;MRT;1679;2019;1892.095487;2010;1524.072883;2.432430879591818
Mauritius;MUS;9812;2019;11208.22737;2010;8000.376431999999;3.8172718880267853
Mexico;MEX;9852;2019;10922.37605;2010;8739.756043000001;2.50794683412483
Micronesia;FSM;3086;2018;3568.2910159999997;2010;2885.4456760000003;2.6906541880860946
Middle East & North Africa;MEA;7978;2019;8894.861579;2010;7169.344653;2.425156746222301
Middle East & North Africa (IDA & IBRD countries);TMN;4332;2017;5036.720832;2010;3799.7872909999996;4.107995562073885
Middle East & North Africa (excluding high income);MNA;4316;2017;5011.268306;2010;3793.932018;4.055596805707462
Middle income;MIC;4910;2019;5575.440915;2010;3866.1938450000002;4.151655374870322
Moldova;MDA;3293;2019;4498.52085;2010;2437.529978;7.045610550339121
Monaco;MCO;170415;2018;189422.2188;2010;150725.1941;2.897691958509019
Mongolia;MNG;3896;2019;4366.075901;2010;2643.292914;5.734379520308286
Montenegro;MNE;7420;2019;8850.092733;2010;6517.163752;3.458330353588668
Morocco;MAR;3033;2019;3222.200634;2010;2839.9251679999998;1.4130781059329633
Mozambique;MOZ;553;2019;673.9699555;2010;428.926488;5.149305316695529
Myanmar;MMR;1241;2019;1418.177623;2010;979.05163;4.203080819109317
Namibia;NAM;5295;2019;5942.273788;2010;4523.09127;3.078618567510416
Nauru;NRU;8098;2019;9762.389302;2010;4754.0750020000005;8.32311029689774
Nepal;NPL;804;2019;1071.050761;2010;592.4010975;6.801446145265344
Netherlands;NLD;50555;2019;54159.34661;2010;45175.231889999995;2.035796370537879
New Zealand;NZL;40624;2019;44553.282210000005;2010;33700.126039999996;3.150662073577326
Nicaragua;NIC;1892;2019;2159.163079;2010;1503.870423;4.100491695481634
Niger;NER;524;2019;571.5269922;2010;473.29987750000004;2.11746832916484
Nigeria;NGA;2492;2019;3222.693537;2010;1968.5595879999998;5.6295925944013225
North America;NAC;55289;2019;63327.45884;2010;48374.0946;3.0380640319721763
North Macedonia;MKD;5254;2019;6093.14769;2010;4542.899717;3.316007996138848
Northern Mariana Islands;MNP;18029;2018;28305.222589999998;2010;13571.058280000001;9.624242990792077
Norway;NOR;86722;2019;102913.4508;2010;70459.1825;4.299353305065057
OECD members;OED;37277;2019;39438.22758;2010;34983.487389999995;1.340678994096356
Oman;OMN;18031;2019;21902.58136;2010;14618.875380000001;4.594545617630019
Other small states;OSS;14095;2019;15741.33979;2010;12366.33726;2.71751683026098
